Date,Heating Percentage,DAT
10/08 0:00,50,67
10/08 0:15,50,67
10/08 0:30,50,66.5
10/08 0:45,50,67
10/08 1:00,50,66.5
10/08 1:15,50,66.5
10/08 1:30,50,66.5
10/08 1:45,50,66.5
10/08 2:00,50,66.5
10/08 2:15,50,66.5
10/08 2:30,50,66.5
10/08 2:45,50,66.5
10/08 3:00,50,66.5
10/08 3:15,50,66.5
10/08 3:30,50,66.5
10/08 3:45,50,66.5
10/08 4:00,50,66.5
10/08 4:15,50,66.5
10/08 4:30,50,66.5
10/08 4:45,50,66.5
10/08 5:00,50,66.5
10/08 5:15,50,66.5
10/08 5:30,50,66.5
10/08 5:45,50,66.5
10/08 6:00,50,66.5
10/08 6:15,50,67
10/08 6:30,50,66.5
10/08 6:45,50,66.5
10/08 7:00,50,66.5
10/08 7:15,50,66.5
10/08 7:30,50,67
10/08 7:45,50,67
10/08 8:00,50,67
10/08 8:15,50,67
10/08 8:30,50,67
10/08 8:45,50,66.5
10/08 9:00,50,66.5
10/08 9:15,50,67
10/08 9:30,50,67
10/08 9:45,50,66.5
10/08 10:00,50,67
10/08 10:15,50,67
10/08 10:30,50,67
10/08 10:45,50,67
10/08 11:00,50,67
10/08 11:15,50,67
10/08 11:30,50,67
10/08 11:45,50,67
10/08 12:00,50,67
10/08 12:15,50,67
10/08 12:30,50,67
10/08 12:45,50,67
10/08 13:00,50,67
10/08 13:15,50,67
10/08 13:30,50,67
10/08 13:45,50,67
10/08 14:00,50,67
10/08 14:15,50,67
10/08 14:30,50,66.5
10/08 14:45,50,66.5
10/08 15:00,50,67
10/08 15:15,50,66.5
10/08 15:30,50,67
10/08 15:45,50,67
10/08 16:00,50,67
10/08 16:15,50,67
10/08 16:30,50,67
10/08 16:45,50,67
10/08 17:00,50,67
10/08 17:15,50,67
10/08 17:30,50,67
10/08 17:45,50,67
10/08 18:00,50,67
10/08 18:15,50,67
10/08 18:30,50,67
10/08 18:45,50,67
10/08 19:00,50,67
10/08 19:15,50,67
10/08 19:30,50,67
10/08 19:45,50,67
10/08 20:00,50,67
10/08 20:15,50,67
10/08 20:30,50,67
10/08 20:45,50,67
10/08 21:00,50,66.5
10/08 21:15,50,67
10/08 21:30,50,67
10/08 21:45,50,67
10/08 22:00,50,67
10/08 22:15,50,67
10/08 22:30,50,67
10/08 22:45,50,67
10/08 23:00,50,66.5
10/08 23:15,50,67
10/08 23:30,50,67
10/08 23:45,50,67
